time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1656957200 716.112872 -1836.035953 6612.242161 -33560585.001928 136107184.215527 59006058.783860
1656957300 622.091804 -2553.974714 6380.491203 -33563442.160820 136106591.615396 59005801.880787
1656957400 520.566468 -3241.105637 6071.561235 -33566299.305902 136105998.964161 59005544.955560
1656957500 412.761728 -3889.142265 5689.191926 -33569156.439471 136105406.261347 59005288.007971
1656957600 299.978409 -4490.270673 5238.013487 -33572013.559228 136104813.507430 59005031.038228
1656957700 183.577241 -5037.247158 4723.490226 -33574870.666323 136104220.702171 59004774.046226
1656957800 64.962402 -5523.486732 4151.854840 -33577727.761900 136103627.845334 59004517.031864
1656957900 -54.435556 -5943.144268 3530.033134 -33580584.843663 136103034.937395 59004259.995348
1656958000 -173.177690 -6291.188426 2865.557066 -33583441.913907 136102441.977876 59004002.936471
1656958100 -289.834109 -6563.462719 2166.473226 -33586298.970334 136101848.967256 59003745.855440
1656958200 -403.002100 -6756.737741 1441.240241 -33589156.015240 136101255.905058 59003488.752048
1656958300 -511.323168 -6868.749201 698.625007 -33592013.046346 136100662.791755 59003231.626501
1656958400 -613.500178 -6898.224576 -52.409559 -33594870.065911 136100069.626877 59002974.478595
1656958500 -708.312928 -6844.895488 -802.814289 -33597727.071654 136099476.410899 59002717.308536
1656958600 -794.633256 -6709.497142 -1543.568724 -33600584.065873 136098883.143343 59002460.116116
1656958700 -871.438194 -6493.754601 -2265.789957 -33603441.046267 136098289.824688 59002202.901543
1656958800 -937.822164 -6200.355714 -2960.843195 -33606298.015135 136097696.454455 59001945.664610
1656958900 -993.007000 -5832.913141 -3620.443065 -33609154.970178 136097103.033122 59001688.405524
1656959000 -1036.350666 -5395.913675 -4236.753474 -33612011.913672 136096509.560216 59001431.124079
1656959100 -1067.353768 -4894.659704 -4802.476016 -33614868.843377 136095916.036204 59001173.820478
1656959200 -1085.664550 -4335.199356 -5310.934416 -33617725.761530 136095322.460619 59000916.494520
1656959300 -1091.081848 -3724.252139 -5756.146461 -33620582.665854 136094728.833935 59000659.146408
1656959400 -1083.556443 -3069.124932 -6132.890194 -33623439.558645 136094135.155675 59000401.775937
1656959500 -1063.190640 -2377.626644 -6436.757608 -33626296.437622 136093541.426314 59000144.383312
1656959600 -1030.236248 -1657.974831 -6664.201424 -33629153.305045 136092947.645380 58999886.968329
1656959700 -985.091115 -918.703609 -6812.570162 -33632010.158634 136092353.813349 58999629.531193
1656959800 -928.294065 -168.564890 -6880.135424 -33634867.000684 136091759.929743 58999372.071699
1656959900 -860.518726 583.567137 -6866.108618 -33637723.828880 136091165.995043 58999114.590054
1656960000 -782.565740 1328.797024 -6770.649052 -33640580.645554 136090572.008765 58998857.086049
1656960100 -695.354144 2058.304429 -6594.862601 -33643437.448390 136089977.971390 58998599.559891
1656960200 -599.911101 2763.444793 -6340.790725 -33646294.239684 136089383.882440 58998342.011375
1656960300 -497.361027 3435.844206 -6011.391013 -33649151.017156 136088789.742391 58998084.440705
1656960400 -388.913094 4067.496820 -5610.507056 -33652007.781898 136088195.551014 58997826.847784
1656960500 -275.848057 4650.856726 -5142.829586 -33654864.535112 136087601.308060 58997569.232502
1656960600 -159.504180 5178.926637 -4613.848496 -33657721.274520 136087007.014002 58997311.595066
1656960700 -41.261807 5645.344240 -4029.793177 -33660578.002324 136086412.668383 58997053.935276
1656960800 77.472112 6044.459609 -3397.566458 -33663434.716320 136085818.271661 58996796.253332
1656960900 195.280858 6371.408910 -2724.665837 -33666291.418747 136085223.823371 58996538.549032
1656961000 310.754432 6622.177169 -2019.099988 -33669148.107308 136084629.323989 58996280.822582
1656961100 422.507024 6793.653973 -1289.293243 -33672004.784336 136084034.773031 58996023.073772
1656961200 529.193707 6883.676723 -543.987649 -33674861.447513 136083440.170979 58995765.302812
1656961300 629.527574 6891.063606 207.865137 -33677718.099135 136082845.517355 58995507.509494
1656961400 722.295633 6815.633240 957.211367 -33680574.736925 136082250.812633 58995249.694023
1656961500 806.374541 6658.211505 1695.009975 -33683431.363139 136081656.056344 58994991.856197
1656961600 880.744647 6420.625161 2412.343286 -33686287.975480 136081061.248965 58994733.996222
1656961700 944.503279 6105.681226 3100.531398 -33689144.576281 136080466.390012 58994476.113888
1656961800 996.875992 5717.134413 3751.239056 -33692001.163244 136079871.479962 58994218.209402
1656961900 1037.226556 5259.640141 4356.582440 -33694857.738628 136079276.518345 58993960.282560
1656962000 1065.064726 4738.697962 4909.225543 -33697714.300154 136078681.505636 58993702.333569

